id,plate,lat,lon,energyLevel,retrieved_datestamp,retrieved_timestamp
06532477-a80f-4266-8658-a20a4a4502f8,SV7 44F,48.467687,-123.332259,82,2024/11/20,07:25:02
0696ac08-8bd5-44a6-81d8-b4ea50a4f6e4,EB0290,49.712898,-124.957077,97,2024/11/20,07:25:02
074d56d8-f110-4932-8c4e-84f13c4a90d9,EB0334,49.171505,-123.955446,89,2024/11/20,07:25:02
076e77c4-2aaa-4085-87fc-a2aa7b5883f3,VG5 58K,49.255938,-123.128516,70,2024/11/20,07:25:02
08057f52-1081-4aa7-ad49-8ff7a548f235,VS7 98B,49.285541,-123.117511,21,2024/11/20,07:25:02
080d3f6e-ef3e-4880-b53b-18e7b5b1acb4,EV0 67A,49.26692,-123.076975,70,2024/11/20,07:25:02
08339bc3-8123-4f6d-aebc-8c4c1b17efb9,NS6 10G,49.268758,-123.071386,49,2024/11/20,07:25:02
08665b4f-bd12-4a4b-9e6a-0bfc66da0f89,HM7 90D,49.222067,-123.038003,97,2024/11/20,07:25:02
08b45c2c-b85f-46d7-aa87-c56a9c19e89f,SV7 51F,49.288152,-123.124945,36,2024/11/20,07:25:02
08b53761-1a28-4628-9ef3-fd7d42aa6f84,NG3 66H,49.264905,-123.249922,84,2024/11/20,07:25:02
08c156f5-a35f-4798-95ae-581e20328d79,EV0 95W,49.205388,-122.904954,36,2024/11/20,07:25:02
08e657a7-d834-4bd8-b7f3-d043156f42e8,EV0 57A,49.287126,-123.117358,70,2024/11/20,07:25:02
08f11e4c-cb61-4833-833d-0ed575c2c49f,TK2 85H,49.319628,-123.096962,83,2024/11/20,07:25:02
0921efc2-ac11-4503-a83a-667a5b39c292,HG1 73M,49.246179,-123.122829,28,2024/11/20,07:25:02
093414ac-c919-4c6d-86f7-279eff34540a,TK2 80H,48.420199,-123.385793,31,2024/11/20,07:25:02
094aea34-9251-4f46-865e-0d2229c41b0b,DN7 32K,49.314366,-123.091773,90,2024/11/20,07:25:02
0969f4d7-3030-43fd-a3b8-bf07d1875306,DN8 58K,49.258703,-123.082115,43,2024/11/20,07:25:02
09d42cfa-6a8e-4442-af9a-236b1ad8ed3b,VN8 33R,49.315492,-123.019482,24,2024/11/20,07:25:02
09d46228-e881-4acc-82ff-4fc0a0c4cd24,FS7 28K,49.237664,-123.07181,96,2024/11/20,07:25:02
0a548b89-e4d5-4976-8fe7-8a191f8000ea,NS5 51G,49.257782,-123.079885,39,2024/11/20,07:25:02
0aad3c10-b9d8-447c-ac6d-a69d94579b67,VG3 85K,49.280074,-123.086043,74,2024/11/20,07:25:02
0ab2f66c-db70-492a-8ae5-e1e3fc0ff49e,EV0 40W,48.433893,-123.357017,76,2024/11/20,07:25:02
0b247ecb-a3e6-4fbc-bda4-54cac487705a,VN8 49R,49.253474,-123.17603,93,2024/11/20,07:25:02
